FK_SENTENCE	end_	id	start_	text
1	64	L1	58	stairs
2	52	L2	38	the background
3	-1	L3	-1	
4	25	L4	15	the ground
4	44	L5	40	sand
5	180	L6	177	him
6	54	L7	40	the background
7	36	L8	27	the house
8	33	L9	28	house
9	47	L10	37	the square
10	-1	L11	-1	
10	63	L12	56	picture
10	101	L13	91	the street
10	115	L14	105	a junction
11	33	L15	27	a park
11	-1	L16	-1	
12	35	L17	27	the park
12	66	L18	58	the road
12	84	L19	70	the foreground
13	49	L20	43	a hill
15	34	L21	26	the hill
16	26	L22	18	the hill
17	38	L23	26	the blue sky
19	63	L24	53	the centre
20	49	L25	39	the jungle
21	53	L26	39	the foreground
22	97	L27	88	a lookout
22	115	L28	101	the foreground
23	58	L29	44	the background
24	59	L30	43	a u-shaped cliff
25	26	L31	16	a blue sky
25	44	L32	30	the background
27	53	L33	39	the background
28	60	L34	50	both sides
28	73	L35	69	them
28	140	L36	138	it
28	-1	L37	-1	
29	30	L38	20	the street
30	36	L39	26	the street
30	79	L40	65	the background
31	62	L41	52	four sides
33	62	L42	59	top
34	110	L43	101	the shade
35	47	L44	40	the sun
35	82	L45	73	the shade
36	61	L46	54	the sun
36	85	L47	76	the shade
37	66	L48	52	the background
39	22	L49	15	the sky
40	29	L50	20	the beach
40	62	L51	48	the background
42	52	L52	40	the building
43	38	L53	24	the foreground
43	71	L54	57	the background
44	20	L55	14	a lake
45	31	L56	24	the bow
46	28	L57	14	the background
47	123	L58	109	the background
49	23	L59	9	the background
50	34	L60	27	a bench
50	55	L61	38	a canteen kitchen
50	85	L62	75	brick wall
53	51	L63	42	the shade
53	87	L64	69	its left and right
54	38	L65	24	the foreground
54	71	L66	57	the background
55	52	L67	44	Asuncion
56	110	L68	107	top
57	35	L69	20	the right tower
58	30	L70	15	the middle gate
58	49	L71	38	the corners
59	28	L72	22	towers
60	48	L73	34	the foreground
60	111	L74	97	the background
61	-1	L75	-1	
62	112	L76	98	the foreground
63	57	L77	45	the building
64	-1	L78	-1	
66	37	L79	29	entrance
68	46	L80	34	the big roof
69	23	L81	9	the foreground
70	-1	L82	-1	
71	15	L83	9	street
72	34	L84	22	the sidewalk
72	65	L85	55	the street
73	49	L86	39	the street
74	9	L87	0	an avenue
75	61	L88	50	their taxis
76	23	L89	19	them
77	44	L90	35	a terrace
77	62	L91	48	the foreground
78	62	L92	48	the background
79	51	L93	39	a green lawn
79	69	L94	55	the foreground
80	41	L95	39	it
81	13	L96	0	a huge column
81	-1	L97	-1	
82	46	L98	32	the background
84	38	L99	25	one tiny spot
85	-1	L100	-1	
86	28	L101	14	the foreground
87	61	L102	54	a stage
89	35	L103	21	the background
90	53	L104	42	a buildilng
92	57	L105	47	the people
93	-1	L106	-1	
94	28	L107	14	the background
95	31	L108	17	the foreground
96	69	L109	56	a white house
103	31	L110	26	rails
103	91	L111	81	brick wall
105	42	L112	28	the foreground
106	30	L113	24	a lawn
106	62	L114	45	light brown house
107	28	L115	15	a grey square
108	61	L116	50	the line up
109	69	L117	55	the background
109	33	L118	29	them
110	27	L119	22	table
110	57	L120	45	a schoolyard
111	33	L121	24	the table
112	34	L122	31	her
112	97	L123	88	the table
113	95	L124	86	the focus
114	62	L125	48	the foreground
115	27	L126	13	the background
115	65	L127	50	the school wall
115	-1	L128	-1	
118	23	L129	14	a kitchen
118	109	L130	105	them
118	132	L131	128	them
119	37	L132	25	excited kids
120	40	L133	26	the background
121	55	L134	49	a room
124	51	L135	45	a desk
128	33	L136	27	a desk
129	34	L137	20	the background
130	34	L138	29	a bus
131	26	L139	13	the front row
132	29	L140	15	the second row
133	48	L141	40	last row
135	42	L142	31	their desks
136	44	L143	40	them
137	41	L144	27	a wooden bench
137	94	L145	80	red brick wall
140	35	L146	27	the wall
141	-1	L147	-1	
142	58	L148	47	their desks
142	91	L149	80	their desks
143	49	L150	35	the foreground
144	36	L151	28	pictures
144	75	L152	61	the background
145	118	L153	111	a table
145	27	L154	16	plastic bag
146	49	L155	35	the background
147	35	L156	28	a table
148	37	L157	28	the table
149	7	L158	0	a woman
150	32	L159	18	the background
151	33	L160	27	La Paz
152	35	L161	21	the foreground
152	84	L162	70	the background
153	58	L163	54	them
154	36	L164	22	the background
154	77	L165	67	the basket
155	42	L166	32	background
155	-1	L167	-1	
156	67	L168	52	a blue building
157	40	L169	31	the slide
158	51	L170	38	her left hand
159	64	L171	50	the background
160	58	L172	48	background
160	-1	L173	-1	
161	46	L174	32	the foreground
164	23	L175	15	the room
165	39	L176	29	the ground
167	67	L177	53	the background
169	-1	L178	-1	
170	20	L179	16	them
170	49	L180	43	a hill
170	67	L181	53	the background
171	48	L182	38	blackboard
171	68	L183	52	a primary school
173	37	L184	26	their desks
175	42	L185	34	the wall
175	60	L186	46	the background
176	81	L187	69	a green wall
176	112	L188	92	children's paintings
177	22	L189	0	an improvised cupboard
177	55	L190	47	a corner
177	79	L191	71	the room
178	62	L192	48	a kindergarten
180	44	L193	36	the wall
180	62	L194	48	the background
181	29	L195	23	a room
182	68	L196	61	a table
183	42	L197	34	the wall
183	62	L198	50	the tourists
184	40	L199	28	wooden desks
184	65	L200	47	open air classroom
187	44	L201	30	the background
189	36	L202	24	round tables
191	38	L203	30	the wall
191	56	L204	42	the background
196	30	L205	22	the wall
196	48	L206	34	the background
197	60	L207	58	it
198	54	L208	40	the background
199	43	L209	32	round table
199	60	L210	47	wooden chairs
200	31	L211	23	the wall
200	43	L212	39	them
201	27	L213	13	the background
201	-1	L214	-1	
202	43	L215	34	the slope
204	49	L216	41	the hill
205	24	L217	10	the background
206	94	L218	86	the back
206	127	L219	118	the front
207	46	L220	35	their hands
208	30	L221	16	the background
209	38	L222	25	the front row
210	55	L223	44	theirs desk
211	32	L224	24	her desk
211	69	L225	61	her desk
211	154	L226	146	the wall
212	37	L227	23	the background
213	35	L228	24	their desks
213	85	L229	73	the last row
214	-1	L230	-1	
215	33	L231	25	the wall
215	-1	L232	-1	
216	94	L233	91	him
217	27	L234	24	him
218	25	L235	11	the foreground
219	62	L236	48	the background
221	26	L237	23	her
222	17	L238	3	the background
222	62	L239	60	it
223	25	L240	11	the foreground
224	48	L241	34	the blackboard
224	63	L242	52	a classroom
224	105	L243	94	their desks
225	37	L244	23	the blackboard
225	91	L245	82	the clock
225	37	L246	23	the blackboard
225	150	L247	137	the side wall
225	168	L248	157	the windows
226	80	L249	72	his back
227	35	L250	24	their desks
228	79	L251	66	the classroom
229	-1	L252	-1	
229	80	L253	78	it
230	91	L254	80	the windows
230	134	L255	126	the roof
231	41	L256	29	the building
232	26	L257	18	a valley
233	43	L258	29	the foreground
234	33	L259	19	the background
235	37	L260	25	the entrance
238	48	L261	34	the blackboard
238	63	L262	52	a classroom
239	39	L263	28	their desks
240	37	L264	23	the blackboard
240	91	L265	82	the clock
240	37	L266	23	the blackboard
240	150	L267	137	the side wall
240	168	L268	157	the windows
241	-1	L269	-1	
242	49	L270	31	the bare brickwork
243	34	L271	26	a ladder
244	53	L272	44	the house
245	40	L273	29	their desks
245	55	L274	44	a classroom
247	39	L275	31	the wall
247	-1	L276	-1	
248	41	L277	31	their desk
249	114	L278	105	each side
250	-1	L279	-1	
251	68	L280	54	the background
252	38	L281	25	the classroom
252	77	L282	63	the blackboard
253	66	L283	52	the blackboard
254	39	L284	25	a wet sidewalk
256	57	L285	53	them
258	53	L286	40	a grey square
259	48	L287	34	the background
260	39	L288	31	the kids
262	126	L289	115	a classroom
263	42	L290	28	the background
264	151	L291	149	it
266	88	L292	79	the floor
268	115	L293	105	the ground
270	103	L294	90	a school desk
271	93	L295	81	a brown door
272	59	L296	48	a red couch
273	59	L297	48	school desk
276	22	L298	14	the wall
276	33	L299	30	her
278	30	L300	22	the arms
280	22	L301	14	the wall
280	40	L302	26	the background
281	88	L303	74	red brick wall
283	101	L304	94	a house
284	41	L305	27	the background
285	106	L306	100	a desk
286	25	L307	21	wall
286	43	L308	33	background
289	22	L309	14	the wall
289	33	L310	30	her
290	128	L311	119	his mouth
291	45	L312	33	their tables
291	70	L313	58	a blackboard
291	88	L314	74	the background
292	89	L315	78	a blue wall
294	104	L316	98	a desk
294	127	L317	117	a building
296	112	L318	100	a brown door
297	78	L319	67	green bench
298	32	L320	24	the wall
298	43	L321	40	her
299	79	L322	66	a green bench
300	32	L323	24	the wall
300	43	L324	40	him
301	54	L325	48	a desk
302	78	L326	67	a classroom
303	43	L327	29	the background
304	76	L328	70	a wall
305	107	L329	92	grey brick wall
306	-1	L330	-1	
307	26	L331	12	the background
308	-1	L332	-1	
309	22	L333	12	background
310	-1	L334	-1	
311	46	L335	27	the near background
312	39	L336	30	the front
312	82	L337	71	the letters
313	132	L338	120	a brick-wall
314	89	L339	83	a desk
314	-1	L340	-1	
316	120	L341	109	a blue wall
317	72	L342	66	a room
317	91	L343	85	a wall
318	73	L344	69	desk
318	96	L345	88	building
319	78	L346	67	a classroom
319	104	L347	91	a wooden wall
320	79	L348	75	desk
320	96	L349	87	classroom
321	50	L350	36	the background
322	87	L351	79	her desk
322	102	L352	91	a classroom
323	53	L353	45	the wall
323	71	L354	57	the background
325	78	L355	70	her desk
325	93	L356	82	a classroom
325	112	L357	106	a wall
326	89	L358	83	a desk
327	92	L359	86	a desk
328	47	L360	33	the background
329	68	L361	62	a desk
329	90	L362	77	the classroom
330	28	L363	24	back
331	46	L364	31	the sandy floor
331	-1	L365	-1	
332	89	L366	78	a blue wall
333	88	L367	77	a blue wall
334	135	L368	119	a red brick wall
334	151	L369	140	a blue wall
335	75	L370	66	classroom
336	23	L371	9	the background
337	76	L372	68	his desk
337	91	L373	80	a classroom
338	27	L374	13	the background
339	78	L375	72	a desk
339	93	L376	82	a classroom
340	34	L377	20	the background
340	105	L378	93	the corridor
340	123	L379	114	the desks
341	129	L380	119	brick-wall
341	144	L381	135	classroom
342	89	L382	78	a classroom
343	31	L383	17	the background
344	111	L384	103	her desk
344	126	L385	115	a classroom
345	27	L386	13	the background
345	54	L387	43	their desks
346	75	L388	69	a desk
346	90	L389	79	a classroom
347	42	L390	34	the desk
347	58	L391	55	her
348	77	L392	68	classroom
349	26	L393	16	their desk
349	44	L394	30	the background
350	103	L395	92	a classroom
351	27	L396	21	a desk
351	38	L397	35	him
352	29	L398	21	the wall
352	47	L399	33	the background
353	92	L400	86	a desk
354	61	L401	55	a desk
354	73	L402	70	her
355	34	L403	20	the background
356	115	L404	109	a desk
356	136	L405	120	a red brick wall
356	151	L406	140	a classroom
357	109	L407	98	a classroom
357	82	L408	74	pullover
358	40	L409	26	the background
359	76	L410	68	her desk
359	93	L411	80	the classroom
360	94	L412	85	two desks
360	109	L413	98	a classroom
361	39	L414	21	the red brick wall
361	57	L415	43	the background
363	113	L416	105	its head
363	-1	L417	-1	
364	30	L418	22	his desk
364	45	L419	34	a classroom
365	31	L420	28	him
366	31	L421	23	the wall
367	85	L422	79	a desk
367	100	L423	89	a classroom
368	28	L424	12	a red brick wall
368	39	L425	36	him
369	36	L426	28	the wall
369	48	L427	45	him
370	57	L428	55	it
372	49	L429	35	the background
373	114	L430	103	a classroom
373	87	L431	67	a dark grey pullover
374	38	L432	24	the background
374	85	L433	75	their desk
375	134	L434	123	a classroom
375	87	L435	67	a dark grey pullover
376	27	L436	13	the background
377	81	L437	70	a classroom
378	29	L438	21	her desk
378	47	L439	33	the background
379	28	L440	20	the wall
379	40	L441	32	the back
380	98	L442	87	a classroom
381	76	L443	68	his desk
381	91	L444	80	a classroom
382	57	L445	54	him
383	76	L446	68	her desk
383	91	L447	80	a classroom
384	136	L448	125	a classroom
385	31	L449	17	the background
386	77	L450	69	her desk
386	92	L451	81	a classroom
387	156	L452	148	his desk
387	171	L453	160	a classroom
388	72	L454	66	a desk
388	87	L455	76	a classroom
389	101	L456	88	her classroom
389	127	L457	118	the desks
389	182	L458	168	the background
390	39	L459	25	the background
391	119	L460	108	a classroom
392	33	L461	30	him
393	120	L462	109	a classroom
394	124	L463	115	classroom
395	10	L464	7	her
396	66	L465	52	the background
396	48	L466	38	their desk
397	72	L467	64	his desk
397	87	L468	76	a classroom
398	32	L469	24	the desk
399	40	L470	26	the background
400	149	L471	140	classroom
401	78	L472	75	her
402	36	L473	26	their desk
402	54	L474	40	the background
403	-1	L475	-1	
404	85	L476	74	a classroom
405	55	L477	41	the background
405	37	L478	31	a wall
406	140	L479	131	classroom
407	24	L480	13	their desks
407	41	L481	28	the classroom
408	35	L482	21	the background
409	107	L483	96	a classroom
410	36	L484	25	their desks
410	75	L485	61	the background
411	147	L486	136	a classroom
412	27	L487	13	the background
412	71	L488	61	their desk
413	44	L489	30	the background
414	128	L490	117	a classroom
415	64	L491	50	the background
416	104	L492	93	a classroom
417	31	L493	28	her
418	24	L494	13	their desks
418	42	L495	28	the background
419	87	L496	76	a classroom
419	113	L497	104	the desks
420	67	L498	53	the background
420	49	L499	38	their desks
421	108	L500	97	a classroom
421	130	L501	121	the desks
422	44	L502	30	the background
425	41	L503	27	the background
428	41	L504	27	the background
429	70	L505	60	the ground
430	32	L506	18	the background
432	34	L507	20	the background
433	31	L508	21	background
433	-1	L509	-1	
436	26	L510	12	the background
437	-1	L511	-1	
441	23	L512	9	the background
442	107	L513	96	a classroom
443	32	L514	22	their desk
443	67	L515	53	the background
444	133	L516	125	the sand
444	-1	L517	-1	
445	44	L518	30	the background
446	118	L519	107	a classroom
447	46	L520	32	the background
448	135	L521	126	the desks
448	150	L522	139	a classroom
449	50	L523	41	her waist
450	23	L524	13	their desk
450	58	L525	44	the background
451	106	L526	95	a classroom
452	44	L527	30	the background
453	-1	L528	-1	
454	41	L529	27	the background
455	151	L530	140	a classroom
456	37	L531	23	the background
457	90	L532	79	a classroom
458	32	L533	21	their desks
458	67	L534	53	the background
459	117	L535	108	the desks
459	132	L536	121	a classroom
460	28	L537	20	her desk
461	53	L538	50	him
462	27	L539	13	the background
464	57	L540	45	the pullover
465	55	L541	41	the background
467	32	L542	18	the background
469	55	L543	41	the background
471	30	L544	16	the background
472	103	L545	89	a rocky desert
473	23	L546	9	the background
475	38	L547	24	the background
479	47	L548	33	the background
485	82	L549	80	it
486	112	L550	101	a grey wall
488	-1	L551	-1	
488	94	L552	80	the background
489	141	L553	129	a white wall
493	-1	L554	-1	
494	113	L555	98	a thatched roof
495	109	L556	97	the backyard
496	62	L557	48	the background
497	-1	L558	-1	
499	30	L559	16	the background
500	48	L560	38	the meadow
500	69	L561	61	the girl
501	131	L562	121	the meadow
501	146	L563	139	a house
502	39	L564	25	the background
503	98	L565	90	a meadow
503	118	L566	106	a grey house
504	97	L567	85	the backyard
505	46	L568	32	the background
506	99	L569	89	a backyard
506	83	L570	81	it
507	43	L571	29	the background
510	46	L572	32	the background
511	100	L573	88	a green vest
512	105	L574	93	the backyard
513	137	L575	125	the backyard
513	148	L576	141	a house
513	119	L577	99	a large purple cloth
514	104	L578	84	a large , red poncho
515	47	L579	37	background
517	51	L580	37	the background
519	46	L581	32	the background
521	28	L582	14	the background
522	51	L583	37	the background
524	55	L584	41	the background
525	128	L585	116	a white wall
528	22	L586	12	background
529	147	L587	135	the backyard
529	158	L588	151	a house
530	79	L589	65	the background
531	49	L590	40	the fence
534	53	L591	43	background
534	-1	L592	-1	
536	140	L593	132	a branch
538	46	L594	32	the background
540	25	L595	15	background
542	29	L596	15	the background
543	111	L597	97	a painted wall
544	40	L598	35	hills
545	77	L599	63	a painted wall
546	41	L600	35	a hill
546	52	L601	46	a tree
547	102	L602	92	a red door
548	120	L603	106	a pile of wood
549	136	L604	122	a pile of wood
550	148	L605	136	a white wall
551	140	L606	129	a grey wall
552	127	L607	116	a grey wall
553	166	L608	157	a lookout
553	209	L609	195	his right hand
553	98	L610	78	sleeveless grey vest
554	129	L611	118	a grey wall
555	119	L612	102	a light grey wall
557	56	L613	42	the background
558	-1	L614	-1	
559	85	L615	78	a house
559	119	L616	108	his pockets
560	118	L617	108	red bricks
560	150	L618	139	his pockets
561	32	L619	18	the background
562	123	L620	102	a very colourful wall
563	135	L621	114	a very colourful wall
564	112	L622	96	a colourful wall
565	110	L623	99	a grey wall
566	148	L624	137	a grey wall
568	59	L625	40	small black saurian
568	79	L626	68	sandy rocks
569	23	L627	17	a room
570	-1	L628	-1	
570	109	L629	102	the bed
570	136	L630	128	the wall
570	150	L631	143	the bed
571	93	L632	79	a wooden chair
572	-1	L633	-1	
573	-1	L634	-1	
573	28	L635	21	the man
574	49	L636	40	the chair
574	99	L637	91	the wall
574	113	L638	106	the bed
575	46	L639	34	the entrance
576	32	L640	20	the entrance
577	55	L641	43	the entrance
578	18	L642	0	an inner courtyard
579	80	L643	64	the red building
580	33	L644	23	the arches
581	127	L645	115	the two beds
582	-1	L646	-1	
583	-1	L647	-1	
585	-1	L648	-1	
586	-1	L649	-1	
587	-1	L650	-1	
589	113	L651	101	the entrance
590	35	L652	18	18 story building
591	26	L653	12	the background
592	93	L654	81	second floor
592	115	L655	108	a tower
593	33	L656	23	the stairs
594	-1	L657	-1	
595	26	L658	12	the background
596	164	L659	162	it
598	56	L660	44	the entrance
600	33	L661	19	the foreground
